HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.96,5.17,1.57,0,0.44,0.78,3.5,39.66,2.96,0,0.65,0.46,0,0,166.11,86.12,110.65,30.96,108.42,0.67,0,0,0.06,0.21,0.62,0.07,0.36,0.32,12.9,0.56,0
2,7.34,0,2.13,0.37,0,0.18,1.22,1.71,7,9.64,3.23,0.35,0.43,5.67,0,25.79,31.26,26.46,24.57,34.41,0.87,5.56,0,0.58,0.24,0.05,0,0.22,2.14,1.06,0,13.61
3,5.23,2.14,0,1.87,0,6.13,6.44,1.52,4.61,6.15,4.85,16.23,2.05,2.67,0,42.56,11.28,17.2,40.08,43.62,6.69,38.99,0,5.5,0.63,10.98,0,3.25,0.73,0,0,22.04
4,1.59,0.38,1.87,0,0,5.76,0,0.37,1.42,1.77,1.54,5.96,3.23,0.84,0,19.6,3.62,5.9,13.48,16.45,4.74,14.89,0,21.17,1.98,7.26,0,3.43,0.23,1.05,0,7.37
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.42,0.27,6.18,5.8,0,0,0,0.32,2.24,2.12,1.08,6.17,12.03,1.3,0,87.09,26.84,24.79,51.54,71.67,68.44,19.16,0,46.33,21.8,33.33,0.4,7.62,1,3.99,0,18.23
7,3.92,0.85,6.41,0,0,0,0,0.78,3.36,5.37,1.49,11.12,0,2.24,0,52.52,34.36,32.45,36.78,57.96,0,12.59,0,0,27.2,0,0,0,3.8,2.39,0,16.63
8,11.56,1.73,1.53,0.38,0,0.24,1.19,0,11.17,16.63,4.91,0.87,0.31,8.07,0,49.34,44.68,34.63,17.02,49.26,2.02,23.63,0,0.59,0.02,0.03,0,0.17,5.19,1.43,0,26.03
9,39.95,0.67,4.58,1.4,0,1.37,0.94,2.69,0,4.16,0,0.83,0.51,15.94,0,0,0,0,23.36,148.67,1.66,133.44,0,0.57,0.38,0.76,0.07,0.62,0.26,22.59,2.3,50.78
10,9.64,15.31,6.08,1.75,0,2.6,15.45,24.25,11.67,0,0,3.4,0.56,4.47,0,78,50.53,49.79,73.76,98.36,18.54,61.94,0,5.54,0.43,2.32,0.05,1.9,6.35,43.23,0,29.6
11,0,3.24,4.82,1.53,0,0.97,1.97,4.86,0,0,0,1.11,0.48,0,0,0,0,0,0,0,2.75,0,0,5.05,0.11,0.54,0.01,0.64,0,0,0,0
12,0.5,0.37,16.06,5.89,0,5.4,11.05,0.91,0.66,1.02,1.13,0,0.82,0.2,0,20.95,16.3,15.29,39.33,38.61,5.15,13.43,0,50.05,22.46,2.19,0.08,2.62,1.2,4.95,0,1.32
13,0.81,0.49,2.03,3.19,0,11.88,0,0.35,0.79,0.48,0.55,0.79,0,0.45,0,5.77,13.33,6.18,4.59,14.39,22.22,4.46,0,8.76,11.03,4.13,0.05,4.65,0.24,0.99,0,1.43
14,0,0.3,2.65,0.83,0,0.67,0.4,0.75,15.88,1.9,0,0.36,0.4,0,0,0,13.97,157.27,15.6,189.19,0.22,0,0,0.2,0.22,0.4,0.06,0.41,0.19,9.81,0.98,0
15,0,13.77,58.03,25.92,0,92.53,50.08,32.22,0,65.3,0,26.76,8.89,0,0,0,0,0,111.22,0,209.08,0,721.36,37.62,3.76,460.67,0.67,20.53,74.54,527.61,41.61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,97.33,34.53,11.18,3.6,0,32.1,41.67,49.24,0,48.45,0,29.43,11.53,21.15,0,0,0,0,0,59.33,56.7,54.2,0,35.04,0.83,28.36,13.9,22.6,60.92,99.32,13.63,278.44
18,83.05,11.85,11.75,3.91,0,7.48,16.27,17.45,0,17.53,0,6.44,2.05,151.28,0,0,0,0,20.03,577.06,18.06,1791.65,0,5.01,0.8,16.15,0.02,3.86,22.83,47.42,5.37,0
19,49.63,30.58,30.65,9.17,0,48.56,41.65,26.85,23.54,76.9,0,53.4,2.86,32.83,0,0,0,20.21,0,250.77,56.44,308.41,0,100.55,2.82,70.41,2.56,15.92,26.83,83.43,0,154.43
20,132.51,39.43,41.82,15.6,0,76.22,66.39,55.09,166.28,96.02,0,55.67,21.05,188.6,0,0,93.36,582.14,248.76,0,429.85,342.1,0,50.54,2.82,147.81,18.49,39.72,76.02,136.82,87.43,0
21,1.06,1.4,6.63,4.71,0,49.77,0,2.61,2.05,4.69,3.52,4.09,18.11,0.37,0,200.82,41.96,30.64,51.38,403.21,0,26.78,0,581.36,65.47,32.82,13.7,23.64,3.64,5.37,0,29.31
22,0,13.52,38.66,14.74,0,29,22.47,32.66,151.84,63.31,0,13.23,4.18,0,0,0,112.8,2046.2,335.2,315.76,52.39,0,0,14.59,0.14,26.46,0.22,8.75,13.62,59.44,61.3,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.37,1.87,5.54,21.15,0,54.11,0,1.66,2.47,5.92,6.72,64.19,8.84,1.22,0,60.57,38.2,31.95,143.81,53.57,591.15,13.81,0,0,28.66,92.88,0.23,10.26,2.65,2.9,0,22.52
25,0.21,0.26,0.63,2,0,11.49,20.65,0.04,0.37,0.44,0.12,22.24,3.77,0.22,0,2.82,0.84,0.97,0.52,2.94,60.87,0.14,0,11.12,0,14.44,2.29,4.94,0,0,0,1.58
26,1.5,0.1,11.36,7.21,0,30.57,0,0.1,1.45,1.39,0.66,2.29,3.64,0.93,0,461.48,21.93,34.83,67,144.3,38.2,27.52,0,83.24,22.61,0,0.11,1.79,1.34,4.24,0,17.09
27,0.02,0.06,0,0,0,3.78,0,0.07,0.01,0.21,0.08,0.07,0.05,0.01,0,13.95,12.22,1.42,1.3,14.69,25.06,0.15,0,0.25,10.73,0.3,0,0.03,0,0,0,0.28
28,0.25,0.23,3.27,3.44,0,1.96,0,0.18,0.51,0.98,0.66,2.61,4,0.31,0,26.16,10.16,7.5,4.66,25.38,23.05,8.04,0,1.19,7.05,1.31,0.04,0,0.34,2.1,0,1.87
29,10.55,2.06,0.73,0.22,0,0.6,3.4,4.94,6.92,3.99,0,1.12,0.24,1,0,89.65,59.59,49.27,20.37,74.65,3.54,12.81,0,0.45,0,1.34,0,0.14,0,0.54,1.76,44.11
30,22.99,9.8,0,1.05,0,3.96,2.39,13.6,27.33,52,0,5,1.01,11.72,0,345.3,109.52,106.4,85.73,154.08,5.45,60.14,0,2.87,0,4.24,0,2.09,0.56,0,15.86,104.27
31,8.61,0,0,0,0,0,0,0,8.51,0,0,0,0,3.44,0,53.2,13.8,27.37,0,89.75,0,60.07,0,0,0,0,0,0,3.63,9.59,0,35.87
32,0,19.45,21.7,7.23,0,25.68,27.46,32.95,64.18,29.34,0,9.86,1.88,0,0,0,278.13,0,149.06,0,49.18,0,0,21.81,1.55,23.84,0.63,5.96,47.69,95.37,35.27,0
